filepath,filename,label,label_int,cluster_id,split
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/Picture42-1-400x284.jpg,Picture42-1-400x284.jpg,mastitis,1,"('mastitis', 'Picture42-1-400x284_jpg.rf.fgVvDqwzlZ9iLsOlOEaS.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/pox5-e1515354512661-400x284.jpg,pox5-e1515354512661-400x284.jpg,mastitis,1,"('mastitis', 'pox5-e1515354512661-400x284_jpg.rf.xOJXkO3HzErN1wdhssd5.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/hyp13-e1515373816135-1024x738-1-400x284.jpg,hyp13-e1515373816135-1024x738-1-400x284.jpg,mastitis,1,"('mastitis', 'hyp13-e1515373816135-1024x738-1-400x284_jpg.rf.N1CeyYqBVSGuhf8WmRVh.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/Chemical-burn-7-e1515283936872-400x284.jpg,Chemical-burn-7-e1515283936872-400x284.jpg,mastitis,1,"('mastitis', 'Chemical-burn-7-e1515283936872-400x284_jpg.rf.7D6cCOBZ6iTIN8ApMuec.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/Picture27-400x284.jpg,Picture27-400x284.jpg,mastitis,1,"('mastitis', 'Picture27-400x284_jpg.rf.iJAPlVqGAiRGUEIvyzvC.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/Picture44-400x284.jpg,Picture44-400x284.jpg,mastitis,1,"('mastitis', 'Picture44-400x284_jpg.rf.XCscDjSZ5xFfevbZMqln.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/wet-teat2-400x284.jpg,wet-teat2-400x284.jpg,mastitis,1,"('mastitis', 'wet-teat2-400x284.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/NMC-TCP-chemical-damage1-e1515281879220-400x284.jpeg,NMC-TCP-chemical-damage1-e1515281879220-400x284.jpeg,mastitis,1,"('mastitis', 'NMC-TCP-chemical-damage1-e1515281879220-400x284_jpeg.rf.qjYEimDWBA2Jf9KhnoHL.jpeg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/Picture24-400x284.jpg,Picture24-400x284.jpg,mastitis,1,"('mastitis', 'Picture24-400x284_jpg.rf.U8FaavMe0DKGnVnC2NxD.jpg')",train
/content/drive/MyDrive/NewCattleSense/dataset/images/mastitis/Smooth-2-1-e1515372198475-400x284.jpg,Smooth-2-1-e1515372198475-400x284.jpg,mastitis,1,"('mastitis', 'Smooth-2-1-e1515372198475-400x284_jpg.rf.ti06l1ZAYMOsiGElVDRx.jpg')",train
